activity_pattern_id,topic,grade,move_id,sample_activity,primary_oa,relevant_oah_ids,steam_practice_ids,note,provenance_class,source_ids
bee_move_initial_model,Abejas y polinización,3° Básico,move_initial_model,Dibuja y explica qué crees que ocurre cuando una abeja visita una flor.,oa_cn03_03,oah_cn03_a;oah_cn03_f,prac_sci_modeling;prac_sci_communication,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_nap_prek5_science
bee_move_stw,Abejas y polinización,3° Básico,move_stw,Observar fotografías/video breve de una abeja visitando flores; separar detalles observables de interpretaciones y preguntas.,oa_cn03_03,oah_cn03_a;oah_cn03_f,prac_sci_observation;prac_sci_questioning;prac_art_perceive,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_pz_stw
bee_move_tpe,Abejas y polinización,3° Básico,move_tpe,"Antes de investigar, registrar qué creen saber sobre abejas/flores, qué les intriga y cómo podrían explorarlo.",oa_cn03_03,oah_cn03_a,prac_sci_questioning;prac_sci_prediction;prac_sci_investigation,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_pz_tpe
bee_move_csq,Abejas y polinización,3° Básico,move_csq,"Después de observar datos, proponer una afirmación sobre la función de la visita de la abeja y respaldarla con evidencia.",oa_cn03_03,oah_cn03_e;oah_cn03_f,prac_sci_explanation;prac_sci_argument;prac_sci_communication;prac_math_argument,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_pz_csq
bee_move_ppc,Abejas y polinización,3° Básico,move_ppc,"Examinar una flor/modelo: identificar partes, posibles funciones y relaciones con la visita del polinizador.",oa_cn03_03,oah_cn03_a;oah_cn03_f,prac_sci_observation;prac_sci_systems;prac_sci_modeling;prac_art_perceive,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_pz_ppc
bee_move_poe,Abejas y polinización,3° Básico,move_poe,"Predecir qué parte de una flor/modelo recogerá o depositará más 'polen', observar una simulación y explicar diferencias.",oa_cn03_03,oah_cn03_a;oah_cn03_b;oah_cn03_e,prac_sci_prediction;prac_sci_observation;prac_sci_explanation;prac_sci_investigation,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_poe_white_gunstone
bee_move_guided_investigation,Abejas y polinización,3° Básico,move_guided_investigation,Comparar visitas de polinizadores a distintos tipos de flores usando imágenes/datos simulados o observación local segura.,oa_cn03_03,oah_cn03_b;oah_cn03_c;oah_cn03_d;oah_cn03_e,prac_sci_investigation;prac_sci_observation;prac_sci_data;prac_math_tools;prac_math_precision,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_nap_prek5_science
bee_move_concept_map,Abejas y polinización,3° Básico,move_concept_map,"Conectar abeja, flor, polen, reproducción, fruto/semilla y ambiente con relaciones explicadas.",oa_cn03_03,oah_cn03_f,prac_sci_modeling;prac_sci_systems;prac_sci_communication;prac_art_convey,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_novak_canas
bee_move_worked_example,Abejas y polinización,3° Básico,move_worked_example,"Modelar cómo construir una explicación: observación → evidencia → relación causal, usando un ejemplo simple de polen.",oa_cn03_03,oah_cn03_f,prac_sci_modeling;prac_math_model,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_sweller_cooper
bee_move_self_explanation,Abejas y polinización,3° Básico,move_self_explanation,Pedir explicar por qué una flecha conecta abeja→polen→otra flor en el modelo.,oa_cn03_03,oah_cn03_e;oah_cn03_f,prac_sci_explanation;prac_sci_argument,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_chi_selfexplanation
bee_move_peer_critique,Abejas y polinización,3° Básico,move_peer_critique,Grupos revisan modelos de polinización con criterios: relaciones visibles + evidencia + claridad.,oa_cn03_03,oah_cn03_f,prac_sci_argument;prac_sci_communication;prac_eng_argument;prac_art_evaluate;prac_art_refine,"Ejemplo de instanciación, no actividad normativa ni plantilla final.",expert_synthesis,src_cn03_oa_03;src_black_wiliam
