progression_id,practice_id,domain_code,level_order,level_name,description,provenance_class,official_progression,verification_status,source_id,notes
prog_prac_sci_observation_L1,prac_sci_observation,SCI,1,Notar,Identifica rasgos o eventos relevantes con apoyo y los distingue de información no observable.,expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_observation_L2,prac_sci_observation,SCI,2,Describir y comparar,Describe observaciones con mayor especificidad y compara semejanzas/diferencias usando criterios simples.,expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_observation_L3,prac_sci_observation,SCI,3,Registrar,"Registra observaciones mediante dibujos, tablas, medidas u otras representaciones apropiadas al propósito.",expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_observation_L4,prac_sci_observation,SCI,4,Usar como evidencia,Usa patrones de observación registrados para apoyar o revisar una explicación.,expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_questioning_L1,prac_sci_questioning,SCI,1,Preguntar desde la curiosidad,Formula preguntas sobre un fenómeno a partir de lo que observa o ya sabe.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_questioning_L2,prac_sci_questioning,SCI,2,Distinguir preguntas investigables,"Reconoce cuáles preguntas podrían abordarse mediante observación, datos o pruebas.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_questioning_L3,prac_sci_questioning,SCI,3,Refinar,Ajusta una pregunta para precisar qué se quiere saber y qué evidencia sería útil.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_questioning_L4,prac_sci_questioning,SCI,4,Conectar pregunta y evidencia,Relaciona explícitamente la pregunta con el diseño de recolección de evidencia.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_prediction_L1,prac_sci_prediction,SCI,1,Anticipar,Expresa qué cree que ocurrirá antes de observar o probar.,expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_prediction_L2,prac_sci_prediction,SCI,2,Justificar,"Da una razón simple basada en experiencia, patrón o conocimiento previo.",expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_prediction_L3,prac_sci_prediction,SCI,3,Usar un modelo,Hace predicciones a partir de relaciones representadas en un modelo.,expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_prediction_L4,prac_sci_prediction,SCI,4,Revisar frente a evidencia,"Compara predicción y resultado, explicando qué cambió en su pensamiento.",expert_synthesis,false,needs_expert_review,src_mineduc_cn03,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_modeling_L1,prac_sci_modeling,SCI,1,Representar componentes,Incluye elementos relevantes del fenómeno en una representación.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_modeling_L2,prac_sci_modeling,SCI,2,Representar relaciones,"Muestra cómo se relacionan componentes, usando flechas, posiciones, secuencias u otras convenciones.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_modeling_L3,prac_sci_modeling,SCI,3,Explicar o predecir,Usa el modelo para explicar un fenómeno o anticipar un cambio.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_modeling_L4,prac_sci_modeling,SCI,4,Revisar con evidencia,"Compara el modelo con nueva evidencia, identifica limitaciones y lo modifica.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_investigation_L1,prac_sci_investigation,SCI,1,Participar en una indagación guiada,Sigue una secuencia con propósito claro y contribuye a observar o recolectar evidencia.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_investigation_L2,prac_sci_investigation,SCI,2,Relacionar pregunta y procedimiento,Comprende cómo las acciones de la investigación ayudan a responder la pregunta.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_investigation_L3,prac_sci_investigation,SCI,3,Tomar decisiones simples de diseño,"Participa en decisiones sobre qué comparar, medir, registrar o mantener consistente.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_investigation_L4,prac_sci_investigation,SCI,4,Evaluar la investigación,Identifica limitaciones de la evidencia y propone mejoras al procedimiento.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_data_L1,prac_sci_data,SCI,1,Organizar,Agrupa o registra datos de forma que puedan revisarse.,expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_data_L2,prac_sci_data,SCI,2,Representar y comparar,"Usa tablas, gráficos o categorías simples para comparar resultados.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
prog_prac_sci_data_L3,prac_sci_data,SCI,3,Identificar patrones,"Describe regularidades, diferencias o relaciones presentes en los datos.",expert_synthesis,false,needs_expert_review,src_nrc_framework,"Mapa de sofisticación, no nivel fijo del estudiante."
