entity_id,layer,local_type,normalized_type,code,name,description,domain_code,subject_code,grade_code,axis_code,origin,provenance_class,verification_status,source_id,secondary_source_ids,properties_json
cl_mineduc_bc_1_6,L1,Marco curricular,curriculum_framework,CL-BC-1-6,Bases Curriculares 1° a 6° Básico — Chile,Marco curricular chileno para Educación Básica 1° a 6°.,,,,,official,official_curriculum,verified,src_mineduc_bases_1_6,,{}
grade_cl_3b,L1,Curso,grade_level,3B,3° Básico,3° año de Educación Básica.,,,3B,,official,official_curriculum,verified,src_mineduc_bases_1_6,,{}
subj_cn,L1,Asignatura,subject,CN,Ciencias Naturales,Asignatura de Ciencias Naturales.,,CN,,,official,official_curriculum,verified,src_mineduc_bases_1_6,,{}
axis_cn_life,L1,Eje,curriculum_axis,CN-LIFE,Ciencias de la Vida,"Eje de Ciencias Naturales centrado en seres vivos, cuerpo humano y medioambiente.",,CN,,CN-LIFE,official,official_curriculum,verified,src_mineduc_cn03,,{}
orient_cn_scientific_literacy,L1,Perspectiva/énfasis,subject_orientation,,Alfabetización científica,Promover una comprensión de la ciencia que permita interpretar fenómenos y participar informadamente.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn_org,{}
orient_cn_big_ideas,L1,Perspectiva/énfasis,subject_orientation,,Comprensión de grandes ideas de la ciencia,Organizar el aprendizaje alrededor de ideas científicas amplias y conectadas.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn_org,{}
orient_cn_scientific_thinking,L1,Perspectiva/énfasis,subject_orientation,,Desarrollo progresivo del pensamiento científico,Desarrollar progresivamente habilidades y métodos propios del quehacer científico.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn_org,{}
orient_cn_evidence_reasoning,L1,Perspectiva/énfasis,subject_orientation,,Preguntas y conclusiones basadas en evidencia,Favorecer preguntas investigables y conclusiones sustentadas en observaciones/evidencia.,,CN,,,expert_curated,expert_interpretation,expert_curated,src_daniela_map,src_mineduc_cn_org,{}
oa_cn03_03,L1,Objetivo de Aprendizaje,learning_objective,CN03 OA 03,Ciclo de vida de plantas con flor,"Observar y describir algunos cambios de las plantas con flor durante su ciclo de vida (germinación, crecimiento, reproducción, formación de la flor y del fruto), reconociendo la importancia de la polinización y de la dispersión de la semilla.",,CN,3B,CN-LIFE,official,official_curriculum,verified,src_cn03_oa_03,,{}
oa_cn03_01,L1,Objetivo de Aprendizaje,learning_objective,CN03 OA 01,Necesidades de las plantas y sus estructuras,Observar y describir las necesidades de las plantas y la relación entre estructuras y funciones.,,CN,3B,CN-LIFE,official,official_curriculum,verified,src_mineduc_cn03,,"{""note"":""Descripción abreviada para prototipo; usar texto oficial íntegro del KG de origen en producción.""}"
oa_cn03_04,L1,Objetivo de Aprendizaje,learning_objective,CN03 OA 04,Importancia y cuidado de las plantas,"Describir la importancia de las plantas para los seres vivos, el ser humano y el ambiente, y proponer acciones de cuidado.",,CN,3B,CN-LIFE,official,official_curriculum,verified,src_mineduc_cn03,,"{""note"":""Descripción abreviada para prototipo; usar texto oficial íntegro del KG de origen en producción.""}"
skillarch_cn_inquiry,L1,Arquitectura de habilidades,skill_architecture,,Investigación científica,Organización curricular de habilidades y etapas de investigación científica en Ciencias Naturales.,,CN,,,official,official_curriculum,verified,src_mineduc_cn_skills,,{}
skillstage_cn_observe_question,L1,Etapa de investigación,skill_stage,,Observar y preguntar,"Etapa centrada en observación, preguntas, inferencias y predicciones.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn_skills,,{}
skillstage_cn_plan_conduct_3_6,L1,Etapa de investigación,skill_stage,,Planificar y conducir una investigación,"Etapa aplicable de 3° a 6° básico para planificar/participar en investigaciones, medir y registrar.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn_skills,,{}
skillstage_cn_analyze_communicate,L1,Etapa de investigación,skill_stage,,Analizar la evidencia y comunicar,"Etapa centrada en sintetizar, analizar y comunicar evidencia e ideas.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn_skills,,{}
oah_cn03_a,L1,Objetivo de Aprendizaje de Habilidad,skill_objective,CN03 OAH a,"Observar, preguntar, inferir y predecir","Observar, plantear preguntas, formular inferencias y predicciones, en forma guiada, sobre objetos y eventos del entorno.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oah_cn03_b,L1,Objetivo de Aprendizaje de Habilidad,skill_objective,CN03 OAH b,Participar en investigaciones guiadas,"Participar en investigaciones experimentales y no experimentales guiadas, obteniendo información desde diversas fuentes y mediante observación, manipulación y clasificación de evidencia, de forma individual y colaborativa.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oah_cn03_c,L1,Objetivo de Aprendizaje de Habilidad,skill_objective,CN03 OAH c,"Observar, medir y registrar datos","Observar, medir y registrar datos en forma precisa, utilizando instrumentos y unidades estandarizadas, organizándolos en tablas y gráficos y utilizando TIC cuando corresponda.",,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
oah_cn03_d,L1,Objetivo de Aprendizaje de Habilidad,skill_objective,CN03 OAH d,Usar materiales e instrumentos con seguridad,Usar materiales e instrumentos en forma segura y autónoma para hacer observaciones y mediciones.,,CN,3B,,official,official_curriculum,verified,src_mineduc_cn03,,{}
