move_id,udl_consideration_id,barrier_addressed,practical_adaptation,construct_preserved,source_id,provenance_class,verification_status
move_initial_model,udl_prior,Conocimiento previo queda invisible y se pierden conexiones/malentendidos importantes.,Comenzar haciendo visible lo que creen/saben y conservarlo para comparar después.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_initial_model,udl_comm_media,Exigir solo escritura extensa puede confundir comunicación escrita con comprensión conceptual.,Aceptar dibujo/modelo + explicación oral o escritura breve cuando se evalúa comprensión científica.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_initial_model,udl_response,Un único modo de respuesta puede medir una barrera motora/lingüística en vez del constructo objetivo.,"Permitir señalar, manipular, dibujar u oralizar si el modo de respuesta no es el constructo evaluado.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_stw,udl_multimedia,Una sola modalidad de representación puede crear barreras de percepción o comprensión.,Combinar espécimen/imagen/video breve con representación gráfica y explicación oral accesible.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_stw,udl_response,Un único modo de respuesta puede medir una barrera motora/lingüística en vez del constructo objetivo.,"Permitir señalar, manipular, dibujar u oralizar si el modo de respuesta no es el constructo evaluado.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_stw,udl_patterns,Demasiada información puede ocultar relaciones y rasgos críticos.,"Resaltar relaciones críticas con contraste, flechas, agrupaciones o preguntas focales sin dar la explicación final.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_tpe,udl_prior,Conocimiento previo queda invisible y se pierden conexiones/malentendidos importantes.,Comenzar haciendo visible lo que creen/saben y conservarlo para comparar después.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_tpe,udl_choice,Una única ruta de participación puede reducir agencia o bloquear fortalezas no relevantes al objetivo.,"Ofrecer 2–3 opciones auténticas de fenómeno, representación o material cuando todas preservan la misma meta.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_tpe,udl_relevance,Una tarea descontextualizada puede reducir sentido y compromiso.,"Conectar con abejas, flores del entorno y decisiones que podrían ocurrir en la escuela/comunidad.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_csq,udl_patterns,Demasiada información puede ocultar relaciones y rasgos críticos.,"Resaltar relaciones críticas con contraste, flechas, agrupaciones o preguntas focales sin dar la explicación final.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_csq,udl_comm_media,Exigir solo escritura extensa puede confundir comunicación escrita con comprensión conceptual.,Aceptar dibujo/modelo + explicación oral o escritura breve cuando se evalúa comprensión científica.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_csq,udl_grad_support,Demasiado poco apoyo bloquea; demasiado apoyo reduce agencia y evidencia de comprensión independiente.,"Proveer ejemplos, plantillas o frases iniciales y retirarlos progresivamente cuando dejan de ser necesarios.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_ppc,udl_multimedia,Una sola modalidad de representación puede crear barreras de percepción o comprensión.,Combinar espécimen/imagen/video breve con representación gráfica y explicación oral accesible.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_ppc,udl_construct_tools,Una sola herramienta/material puede limitar construcción o expresión innecesariamente.,"Ofrecer tarjetas, dibujos, objetos, materiales físicos o herramientas digitales equivalentes según acceso.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_ppc,udl_patterns,Demasiada información puede ocultar relaciones y rasgos críticos.,"Resaltar relaciones críticas con contraste, flechas, agrupaciones o preguntas focales sin dar la explicación final.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_poe,udl_prior,Conocimiento previo queda invisible y se pierden conexiones/malentendidos importantes.,Comenzar haciendo visible lo que creen/saben y conservarlo para comparar después.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_poe,udl_organize,La carga de gestionar pasos/materiales puede competir con el razonamiento central.,"Presentar pasos visibles, materiales preparados y un objetivo/evidencia por etapa.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_poe,udl_feedback,Feedback evaluativo o tardío puede no orientar el siguiente paso.,Dar retroalimentación específica sobre el criterio/evidencia y un próximo movimiento accionable.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_guided_investigation,udl_collab,"La colaboración abierta puede excluir a quienes necesitan estructura, tiempo o roles claros.","Usar roles simples, turnos de contribución y productos que requieran aportes interdependientes.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_guided_investigation,udl_organize,La carga de gestionar pasos/materiales puede competir con el razonamiento central.,"Presentar pasos visibles, materiales preparados y un objetivo/evidencia por etapa.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_guided_investigation,udl_grad_support,Demasiado poco apoyo bloquea; demasiado apoyo reduce agencia y evidencia de comprensión independiente.,"Proveer ejemplos, plantillas o frases iniciales y retirarlos progresivamente cuando dejan de ser necesarios.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_concept_map,udl_construct_tools,Una sola herramienta/material puede limitar construcción o expresión innecesariamente.,"Ofrecer tarjetas, dibujos, objetos, materiales físicos o herramientas digitales equivalentes según acceso.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_concept_map,udl_patterns,Demasiada información puede ocultar relaciones y rasgos críticos.,"Resaltar relaciones críticas con contraste, flechas, agrupaciones o preguntas focales sin dar la explicación final.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_concept_map,udl_comm_media,Exigir solo escritura extensa puede confundir comunicación escrita con comprensión conceptual.,Aceptar dibujo/modelo + explicación oral o escritura breve cuando se evalúa comprensión científica.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_worked_example,udl_patterns,Demasiada información puede ocultar relaciones y rasgos críticos.,"Resaltar relaciones críticas con contraste, flechas, agrupaciones o preguntas focales sin dar la explicación final.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_worked_example,udl_grad_support,Demasiado poco apoyo bloquea; demasiado apoyo reduce agencia y evidencia de comprensión independiente.,"Proveer ejemplos, plantillas o frases iniciales y retirarlos progresivamente cuando dejan de ser necesarios.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_worked_example,udl_organize,La carga de gestionar pasos/materiales puede competir con el razonamiento central.,"Presentar pasos visibles, materiales preparados y un objetivo/evidencia por etapa.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_self_explanation,udl_comm_media,Exigir solo escritura extensa puede confundir comunicación escrita con comprensión conceptual.,Aceptar dibujo/modelo + explicación oral o escritura breve cuando se evalúa comprensión científica.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_self_explanation,udl_grad_support,Demasiado poco apoyo bloquea; demasiado apoyo reduce agencia y evidencia de comprensión independiente.,"Proveer ejemplos, plantillas o frases iniciales y retirarlos progresivamente cuando dejan de ser necesarios.","La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
move_self_explanation,udl_feedback,Feedback evaluativo o tardío puede no orientar el siguiente paso.,Dar retroalimentación específica sobre el criterio/evidencia y un próximo movimiento accionable.,"La práctica/constructo principal del movimiento se mantiene; solo cambia la vía de acceso, representación o respuesta.",src_cast_udl3,expert_application,needs_expert_review
