move_id,name,move_type,description,use_when,avoid_when,typical_minutes_min,typical_minutes_max,source_id,license_status,verification_status
move_initial_model,Modelo inicial,elicitation,Hacer visible la representación inicial del fenómeno antes de instrucción extensa.,"Útil para conocimiento previo, relaciones causales y comparación pre/post.",No tratar el dibujo como diagnóstico total ni exigir vocabulario formal prematuramente.,10,20,src_nap_prek5_science,low,needs_expert_review
move_stw,Observar–Interpretar–Preguntar (inspirado en See–Think–Wonder),thinking_routine,Separar observación de interpretación y abrir preguntas de indagación.,"Útil al introducir imágenes, especímenes, fenómenos o datos ricos.",Evitar convertir la rutina en una lista mecánica o corregir interpretaciones demasiado pronto.,8,15,src_pz_stw,license_review_required,needs_expert_review
move_tpe,Pensar–Preguntarse–Explorar (inspirado en Think–Puzzle–Explore),thinking_routine,"Activar ideas previas, identificar preguntas e imaginar rutas de exploración.",Útil al comenzar un tema o fenómeno abierto.,No usar las ideas iniciales como evidencia de dominio; son hipótesis de partida.,10,20,src_pz_tpe,license_review_required,needs_expert_review
move_csq,Afirmación–Soporte–Pregunta (inspirado en Claim–Support–Question),thinking_routine,"Hacer explícita una afirmación, el soporte/evidencia y nuevas preguntas.",Útil cuando ya existe evidencia suficiente para razonar.,No pedir evidencia antes de haber generado/observado datos o fenómenos pertinentes.,10,20,src_pz_csq,license_review_required,needs_expert_review
move_ppc,"Partes–Propósitos–Relaciones (inspirado en Parts, Purposes, Complexities para niños)",thinking_routine,"Observar un objeto/sistema, pensar qué hacen sus partes y cómo se relacionan.","Útil para sistemas, estructuras, modelos y diseño.","Evitar complejidad terminológica; priorizar manipulación, dibujo y conversación.",10,25,src_pz_ppc,license_review_required,needs_expert_review
move_poe,Predicción–Observación–Explicación,investigation,"Hacer una predicción, observar/medir lo que ocurre y explicar diferencias entre lo esperado y la evidencia.",Útil para fenómenos que pueden observarse o probarse.,No confundir una predicción incorrecta con falta de aprendizaje; el contraste es productivo.,15,40,src_poe_white_gunstone,none,needs_expert_review
move_guided_investigation,Investigación guiada,investigation,"Estructurar una pregunta, procedimiento y evidencia con grados de decisión apropiados al grupo.",Útil cuando el objetivo es participar auténticamente en indagación sin sobrecargar planificación.,No convertirla en receta sin sentido; explicitar relación pregunta–evidencia.,25,60,src_nap_prek5_science,none,needs_expert_review
move_concept_map,Mapa conceptual,representation,Representar conceptos y relaciones mediante nodos y enlaces explícitos.,Útil para hacer visibles relaciones y cambios en comprensión.,No puntuar por cantidad de nodos; observar calidad y significado de relaciones.,15,30,src_novak_canas,none,needs_expert_review
move_worked_example,Ejemplo modelado/resuelto,scaffold,Mostrar un proceso o representación de calidad haciendo visibles decisiones relevantes.,Útil cuando el procedimiento o formato añade carga innecesaria para novatos.,Evitar mantener el apoyo cuando ya no es necesario; considerar desvanecimiento.,5,15,src_sweller_cooper,none,needs_expert_review
move_self_explanation,Autoexplicación guiada,scaffold,"Pedir al estudiante explicar por qué un paso, relación o evidencia tiene sentido.","Útil para conectar ejemplos, principios y razonamiento.",Evitar prompts vagos; acotar la relación o decisión que debe explicarse.,5,15,src_chi_selfexplanation,none,needs_expert_review
move_peer_critique,Crítica entre pares con criterios,discussion,Comparar trabajo con criterios y ofrecer retroalimentación específica para revisar.,Útil cuando existe un objeto revisable y criterios comprensibles.,No usar juicio social abierto sin estructura; proteger seguridad y foco en el trabajo.,10,25,src_black_wiliam,none,needs_expert_review
move_design_challenge,Desafío de diseño con criterios y restricciones,construction,Plantear un problema de diseño auténtico con criterios y límites explícitos.,Útil para integrar ciencia con ingeniería y decisiones basadas en evidencia.,No añadir un 'hacer manual' desconectado del aprendizaje científico.,30,120,src_nrc_framework,none,needs_expert_review
move_prototype_test_iterate,Prototipar–Probar–Iterar,construction,"Construir una versión, probarla contra criterios, interpretar evidencia y modificar.","Útil cuando la meta incluye ingeniería, iteración o resolución de problemas.",No pedir iteración sin evidencia de prueba; evitar que 'decorar' cuente como mejora.,30,120,src_nrc_framework,none,needs_expert_review
move_model_revision,Revisión de modelo con nueva evidencia,reflection,Volver a una representación previa y modificarla usando evidencia acumulada.,Útil para evidenciar cambio conceptual y desarrollar modelación científica.,No premiar solo que el modelo cambie; buscar si el cambio responde a evidencia.,10,25,src_nrc_framework,none,needs_expert_review
move_exit_check,Chequeo formativo de salida,assessment,Elicitar una muestra breve y específica de la comprensión relevante para decidir el siguiente paso.,Útil cuando una decisión pedagógica próxima depende de una evidencia puntual.,No convertirlo en mini examen de todo; medir solo lo necesario para decidir.,3,10,src_black_wiliam,none,needs_expert_review
