relationship_id,layer,source_entity_id,relationship_type,target_entity_id,relationship_scope,evidence_basis,provenance_class,verification_status,confidence,rationale,source_id,secondary_source_ids,properties_json
r_bridge_skill_cn_observe_prac_sci_observation,X12,skill_cn_observe,maps_to_steam_practice,prac_sci_observation,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_observe_prac_art_perceive,X12,skill_cn_observe,maps_to_steam_practice,prac_art_perceive,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_question_prac_sci_questioning,X12,skill_cn_question,maps_to_steam_practice,prac_sci_questioning,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_infer_prac_sci_prediction,X12,skill_cn_infer,maps_to_steam_practice,prac_sci_prediction,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_infer_prac_sci_explanation,X12,skill_cn_infer,maps_to_steam_practice,prac_sci_explanation,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_predict_prac_sci_prediction,X12,skill_cn_predict,maps_to_steam_practice,prac_sci_prediction,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_predict_prac_sci_modeling,X12,skill_cn_predict,maps_to_steam_practice,prac_sci_modeling,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_investigate_prac_sci_investigation,X12,skill_cn_investigate,maps_to_steam_practice,prac_sci_investigation,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_explore_prac_sci_observation,X12,skill_cn_explore,maps_to_steam_practice,prac_sci_observation,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_explore_prac_sci_investigation,X12,skill_cn_explore,maps_to_steam_practice,prac_sci_investigation,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_explore_prac_art_generate,X12,skill_cn_explore,maps_to_steam_practice,prac_art_generate,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_classify_prac_sci_data,X12,skill_cn_classify,maps_to_steam_practice,prac_sci_data,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_classify_prac_cs_abstraction,X12,skill_cn_classify,maps_to_steam_practice,prac_cs_abstraction,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_classify_prac_math_structure,X12,skill_cn_classify,maps_to_steam_practice,prac_math_structure,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_measure_prac_sci_data,X12,skill_cn_measure,maps_to_steam_practice,prac_sci_data,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_measure_prac_math_tools,X12,skill_cn_measure,maps_to_steam_practice,prac_math_tools,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_measure_prac_math_precision,X12,skill_cn_measure,maps_to_steam_practice,prac_math_precision,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_record_prac_sci_data,X12,skill_cn_record,maps_to_steam_practice,prac_sci_data,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_record_prac_math_model,X12,skill_cn_record,maps_to_steam_practice,prac_math_model,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_record_prac_sci_communication,X12,skill_cn_record,maps_to_steam_practice,prac_sci_communication,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_organize_data_prac_sci_data,X12,skill_cn_organize_data,maps_to_steam_practice,prac_sci_data,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_organize_data_prac_math_model,X12,skill_cn_organize_data,maps_to_steam_practice,prac_math_model,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_organize_data_prac_cs_abstraction,X12,skill_cn_organize_data,maps_to_steam_practice,prac_cs_abstraction,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
r_bridge_skill_cn_use_instruments_prac_math_tools,X12,skill_cn_use_instruments,maps_to_steam_practice,prac_math_tools,cross_layer,expert_crosswalk_chile_to_steam_framework,expert_synthesis,needs_expert_review,0.82,Puente semántico entre habilidad curricular chilena y práctica disciplinar de Erandi; no reemplaza la terminología oficial.,src_daniela_map,src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas,{}
