move_id,developmental_band_id,grade_code,language_guidance,representation_guidance,grouping_guidance,teacher_role,time_attention_guidance,assessment_guidance,move_specific_guidance,facilitation_note,source_ids,provenance_class,verification_status
move_initial_model,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Priorizar dibujo + explicación oral; no exigir etiquetas correctas inicialmente.,"Preguntar «cuéntame qué está pasando aquí» para revelar relaciones, no calidad artística.",src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_stw,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,"Separar visualmente tres momentos: observar, interpretar y preguntar; modelar una observación literal antes de empezar.",Aceptar respuestas orales/dibujadas y registrar colectivamente algunas para hacer visible la diferencia entre ver e interpretar.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_tpe,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Usar fenómeno concreto y pedir pocas ideas/preguntas; ofrecer ejemplos de preguntas investigables sin cerrar la curiosidad.,Agrupar preguntas de estudiantes en categorías simples para decidir qué explorar.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_csq,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Trabajar con una afirmación a la vez y evidencia visible; usar apoyos lingüísticos breves.,Permitir señalar/dibujar la evidencia antes de formular la explicación oral o escrita.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_ppc,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,"Usar objeto, flor, modelo o imagen manipulable; centrar primero partes y funciones antes de relaciones complejas.",Dibujar flechas/relaciones y usar dramatización si ayuda a representar cómo trabajan las partes juntas.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_poe,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Hacer la predicción antes de observar; registrar con símbolos/dibujos y comparar explícitamente después.,No penalizar predicciones erróneas; usar discrepancias como motor de explicación.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_guided_investigation,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,"Dar una pregunta y estructura base, pero dejar una o dos decisiones reales al grupo (qué observar, cómo registrar, qué comparar).",Usar roles simples y materiales previamente organizados para reducir carga ejecutiva.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_concept_map,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Limitar el número de conceptos iniciales y ofrecer tarjetas movibles antes de escribir conexiones.,Modelar cómo una palabra/frase de enlace cambia el significado entre dos conceptos.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_worked_example,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,"Mostrar un ejemplo breve y visible paso a paso; resaltar la decisión clave, no solo el producto final.","Después del ejemplo, pedir aplicar una parte con apoyo reducido.",src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_self_explanation,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Pedir explicar una relación concreta: «¿por qué esta flecha va aquí?» en vez de «explica todo».,"Aceptar explicación oral, señalamiento y manipulación del modelo.",src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_peer_critique,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,"Usar 1–2 criterios visibles y frases de retroalimentación respetuosas; centrarse en el trabajo, no en la persona.",Primero practicar crítica sobre un ejemplo anónimo del docente.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
move_design_challenge,devband_middle_primary,3B,"Usar consignas cortas, lenguaje cotidiano conectado con vocabulario científico, y presentar una idea/pregunta a la vez.","Permitir dibujo, material concreto, gestos, conversación y escritura breve; introducir convenciones visuales explícitamente.","Alternar pensamiento individual breve, parejas o grupos pequeños con roles simples y puesta en común.","Modelar una primera respuesta/proceso cuando el formato es nuevo, hacer preguntas de seguimiento y retirar apoyo cuando el grupo puede continuar.",Segmentar la experiencia en ciclos visibles de 5–15 minutos dentro de la sesión.,Evaluar el constructo científico/STEAM y no la sofisticación lingüística o gráfica salvo que sea parte explícita de la meta.,Hacer el problema tangible; mantener pocos criterios/restricciones y ofrecer materiales visibles/manipulables.,Dar tiempo breve de ideación antes de construir para evitar que la primera idea se vuelva automáticamente la solución.,src_naeyc_dap;src_nap_prek5_science;src_mineduc_cn03,expert_synthesis,needs_expert_review
