relationship_id,layer,source_entity_id,relationship_type,target_entity_id,relationship_scope,evidence_basis,provenance_class,verification_status,confidence,rationale,source_id,secondary_source_ids,properties_json
r_domain_science_prac_sci_observation,L2,domain_science,has_practice,prac_sci_observation,structural,framework_structure,expert_synthesis,expert_curated,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_mineduc_cn03,,{}
r_domain_science_prac_sci_questioning,L2,domain_science,has_practice,prac_sci_questioning,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_prediction,L2,domain_science,has_practice,prac_sci_prediction,structural,framework_structure,expert_synthesis,expert_curated,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_mineduc_cn03,,{}
r_domain_science_prac_sci_modeling,L2,domain_science,has_practice,prac_sci_modeling,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_investigation,L2,domain_science,has_practice,prac_sci_investigation,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_data,L2,domain_science,has_practice,prac_sci_data,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_mathcomp,L2,domain_science,has_practice,prac_sci_mathcomp,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_explanation,L2,domain_science,has_practice,prac_sci_explanation,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_argument,L2,domain_science,has_practice,prac_sci_argument,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_communication,L2,domain_science,has_practice,prac_sci_communication,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_science_prac_sci_systems,L2,domain_science,has_practice,prac_sci_systems,structural,framework_structure,expert_synthesis,needs_expert_review,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_define,L2,domain_engineering,has_practice,prac_eng_define,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_criteria,L2,domain_engineering,has_practice,prac_eng_criteria,structural,framework_structure,expert_synthesis,needs_expert_review,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_ideate,L2,domain_engineering,has_practice,prac_eng_ideate,structural,framework_structure,expert_synthesis,needs_expert_review,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_modelproto,L2,domain_engineering,has_practice,prac_eng_modelproto,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_test,L2,domain_engineering,has_practice,prac_eng_test,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_iterate,L2,domain_engineering,has_practice,prac_eng_iterate,structural,framework_structure,expert_synthesis,needs_expert_review,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_tradeoffs,L2,domain_engineering,has_practice,prac_eng_tradeoffs,structural,framework_structure,expert_synthesis,needs_expert_review,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_argument,L2,domain_engineering,has_practice,prac_eng_argument,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_communicate,L2,domain_engineering,has_practice,prac_eng_communicate,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_engineering_prac_eng_systems,L2,domain_engineering,has_practice,prac_eng_systems,structural,framework_structure,expert_synthesis,needs_expert_review,0.85,Práctica ubicada dentro del dominio STEAM correspondiente.,src_nrc_framework,,{}
r_domain_math_prac_math_make_sense,L2,domain_math,has_practice,prac_math_make_sense,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_reason_abstract,L2,domain_math,has_practice,prac_math_reason_abstract,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_argument,L2,domain_math,has_practice,prac_math_argument,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_model,L2,domain_math,has_practice,prac_math_model,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_tools,L2,domain_math,has_practice,prac_math_tools,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_precision,L2,domain_math,has_practice,prac_math_precision,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_structure,L2,domain_math,has_practice,prac_math_structure,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_math_prac_math_regularity,L2,domain_math,has_practice,prac_math_regularity,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ccss_math,,{}
r_domain_computing_prac_cs_positive_impact,L2,domain_computing,has_practice,prac_cs_positive_impact,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_rights_dignity,L2,domain_computing,has_practice,prac_cs_rights_dignity,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_communicate,L2,domain_computing,has_practice,prac_cs_communicate,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_manage,L2,domain_computing,has_practice,prac_cs_manage,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_collaborate,L2,domain_computing,has_practice,prac_cs_collaborate,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_define_problem,L2,domain_computing,has_practice,prac_cs_define_problem,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_abstraction,L2,domain_computing,has_practice,prac_cs_abstraction,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_create,L2,domain_computing,has_practice,prac_cs_create,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_test_refine,L2,domain_computing,has_practice,prac_cs_test_refine,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_users,L2,domain_computing,has_practice,prac_cs_users,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_iterative_design,L2,domain_computing,has_practice,prac_cs_iterative_design,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_computing_prac_cs_empower,L2,domain_computing,has_practice,prac_cs_empower,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_csta_2026,,{}
r_domain_arts_design_prac_art_generate,L2,domain_arts_design,has_practice,prac_art_generate,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_develop,L2,domain_arts_design,has_practice,prac_art_develop,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_refine,L2,domain_arts_design,has_practice,prac_art_refine,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_select_present,L2,domain_arts_design,has_practice,prac_art_select_present,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_prepare_present,L2,domain_arts_design,has_practice,prac_art_prepare_present,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_convey,L2,domain_arts_design,has_practice,prac_art_convey,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_perceive,L2,domain_arts_design,has_practice,prac_art_perceive,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
r_domain_arts_design_prac_art_interpret,L2,domain_arts_design,has_practice,prac_art_interpret,structural,framework_structure,external_framework,verified_external,1.0,Práctica ubicada dentro del dominio STEAM correspondiente.,src_ncas,,{}
