relationship_id,layer,source_entity_id,relationship_type,target_entity_id,relationship_scope,evidence_basis,provenance_class,verification_status,confidence,rationale,source_id,secondary_source_ids,properties_json
r_subj_orient_cn_scientific_literacy,L1,subj_cn,has_orientation,orient_cn_scientific_literacy,structural,expert_map_plus_official_subject_organization,expert_interpretation,expert_curated,0.9,Síntesis de la perspectiva/énfasis de Ciencias Naturales.,src_daniela_map,src_mineduc_cn_org,{}
r_subj_orient_cn_big_ideas,L1,subj_cn,has_orientation,orient_cn_big_ideas,structural,expert_map_plus_official_subject_organization,expert_interpretation,expert_curated,0.9,Síntesis de la perspectiva/énfasis de Ciencias Naturales.,src_daniela_map,src_mineduc_cn_org,{}
r_subj_orient_cn_scientific_thinking,L1,subj_cn,has_orientation,orient_cn_scientific_thinking,structural,expert_map_plus_official_subject_organization,expert_interpretation,expert_curated,0.9,Síntesis de la perspectiva/énfasis de Ciencias Naturales.,src_daniela_map,src_mineduc_cn_org,{}
r_subj_orient_cn_evidence_reasoning,L1,subj_cn,has_orientation,orient_cn_evidence_reasoning,structural,expert_map_plus_official_subject_organization,expert_interpretation,expert_curated,0.9,Síntesis de la perspectiva/énfasis de Ciencias Naturales.,src_daniela_map,src_mineduc_cn_org,{}
r_skillarch_skillstage_cn_observe_question,L1,skillarch_cn_inquiry,has_stage,skillstage_cn_observe_question,structural,official_structure,official_curriculum,verified,1.0,Etapa de la arquitectura oficial de investigación científica.,src_mineduc_cn_skills,,{}
r_skillarch_skillstage_cn_plan_conduct_3_6,L1,skillarch_cn_inquiry,has_stage,skillstage_cn_plan_conduct_3_6,structural,official_structure,official_curriculum,verified,1.0,Etapa de la arquitectura oficial de investigación científica.,src_mineduc_cn_skills,,{}
r_skillarch_skillstage_cn_analyze_communicate,L1,skillarch_cn_inquiry,has_stage,skillstage_cn_analyze_communicate,structural,official_structure,official_curriculum,verified,1.0,Etapa de la arquitectura oficial de investigación científica.,src_mineduc_cn_skills,,{}
r_subject_skillarch,L1,subj_cn,has_skill_architecture,skillarch_cn_inquiry,structural,official_structure,official_curriculum,verified,1.0,La asignatura organiza habilidades de investigación científica.,src_mineduc_cn_skills,,{}
r_stage_oah_cn03_a,L1,skillstage_cn_observe_question,has_skill_objective,oah_cn03_a,structural,official_structure,official_curriculum,verified,1.0,OAH oficial asociado a esta etapa de investigación.,src_mineduc_cn03,src_mineduc_cn_skills,{}
r_stage_oah_cn03_b,L1,skillstage_cn_plan_conduct_3_6,has_skill_objective,oah_cn03_b,structural,official_structure,official_curriculum,verified,1.0,OAH oficial asociado a esta etapa de investigación.,src_mineduc_cn03,src_mineduc_cn_skills,{}
r_stage_oah_cn03_c,L1,skillstage_cn_plan_conduct_3_6,has_skill_objective,oah_cn03_c,structural,official_structure,official_curriculum,verified,1.0,OAH oficial asociado a esta etapa de investigación.,src_mineduc_cn03,src_mineduc_cn_skills,{}
r_stage_oah_cn03_d,L1,skillstage_cn_plan_conduct_3_6,has_skill_objective,oah_cn03_d,structural,official_structure,official_curriculum,verified,1.0,OAH oficial asociado a esta etapa de investigación.,src_mineduc_cn03,src_mineduc_cn_skills,{}
r_stage_oah_cn03_e,L1,skillstage_cn_analyze_communicate,has_skill_objective,oah_cn03_e,structural,official_structure,official_curriculum,verified,1.0,OAH oficial asociado a esta etapa de investigación.,src_mineduc_cn03,src_mineduc_cn_skills,{}
r_stage_oah_cn03_f,L1,skillstage_cn_analyze_communicate,has_skill_objective,oah_cn03_f,structural,official_structure,official_curriculum,verified,1.0,OAH oficial asociado a esta etapa de investigación.,src_mineduc_cn03,src_mineduc_cn_skills,{}
