entity_id,layer,local_type,normalized_type,code,name,description,domain_code,subject_code,grade_code,axis_code,origin,provenance_class,verification_status,source_id,secondary_source_ids,properties_json
domain_science,L2,Dominio STEAM,steam_domain,SCI,Ciencia,Prácticas para construir explicaciones y conocimiento sobre el mundo natural.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
domain_engineering,L2,Dominio STEAM,steam_domain,ENG,Ingeniería,"Prácticas para definir problemas, diseñar, probar y mejorar soluciones.",ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
domain_math,L2,Dominio STEAM,steam_domain,MAT,Matemática,"Prácticas matemáticas para resolver, modelar, representar y justificar.",MAT,,,,external_framework,external_framework,verified_external,src_ccss_math,,{}
domain_computing,L2,Dominio STEAM,steam_domain,TEC,Tecnología y Computación,"Prácticas de computación, pensamiento computacional y diseño humano.",TEC,,,,external_framework,external_framework,verified_external,src_csta_2026,,{}
domain_arts_design,L2,Dominio STEAM,steam_domain,ART,Artes y Diseño,"Procesos para crear, presentar, responder y conectar mediante prácticas artísticas/de diseño.",ART,,,,external_framework,external_framework,verified_external,src_ncas,,{}
prac_sci_observation,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-OBS,Observación científica,"Observar de manera intencional, describir, comparar y registrar rasgos relevantes para producir evidencia.",SCI,,,,erandi,expert_synthesis,expert_curated,src_mineduc_cn03,,{}
prac_sci_questioning,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-Q,Formulación de preguntas científicas,Plantear y refinar preguntas sobre fenómenos que orienten la indagación y la construcción de explicaciones.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_prediction,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-PRED,Predicción e inferencia,"Anticipar resultados o relaciones a partir de conocimiento previo, patrones o modelos, distinguiendo predicción de observación.",SCI,,,,erandi,expert_synthesis,expert_curated,src_mineduc_cn03,,{}
prac_sci_modeling,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-MOD,Desarrollo y uso de modelos,"Construir, usar, comparar y revisar representaciones para describir, explicar o predecir fenómenos.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_investigation,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-INV,Planificación y realización de investigaciones,Planificar y realizar observaciones o pruebas sistemáticas para generar evidencia pertinente.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_data,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-DATA,Análisis e interpretación de datos,"Organizar, representar, comparar e interpretar datos para identificar patrones y responder preguntas.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_mathcomp,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-MC,Uso de matemática y pensamiento computacional en ciencia,"Usar cuantificación, representaciones matemáticas o herramientas computacionales para analizar fenómenos y evidencia.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_explanation,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-EXP,Construcción de explicaciones,Construir explicaciones que articulen ideas científicas con evidencia pertinente.,SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_argument,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-ARG,Argumentación a partir de evidencia,"Evaluar y defender afirmaciones considerando evidencia, razones y explicaciones alternativas.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_communication,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-COM,"Obtención, evaluación y comunicación de información científica","Interpretar y comunicar información, ideas y evidencia científica mediante representaciones apropiadas.",SCI,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
prac_sci_systems,L2,Práctica disciplinar STEAM,disciplinary_practice,SCI-SYS,Pensamiento de sistemas,"Razonar sobre componentes, relaciones, límites, retroalimentaciones y efectos dentro de un sistema.",SCI,,,,erandi,expert_synthesis,needs_expert_review,src_nrc_framework,,{}
prac_eng_define,L2,Práctica disciplinar STEAM,disciplinary_practice,ENG-DEF,Definir problemas de diseño,Precisar una necesidad o problema que pueda abordarse mediante diseño.,ENG,,,,external_framework,external_framework,verified_external,src_nrc_framework,,{}
