move_id,target_type,target_id,relationship_type,confidence,source_ids
move_initial_model,OAH,oah_cn03_a,supports_curriculum_skill,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_initial_model,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,OAH,oah_cn03_a,supports_curriculum_skill,0.82,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_stw,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_pz_stw;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_tpe,OAH,oah_cn03_a,supports_curriculum_skill,0.82,src_pz_tpe;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_csq,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_pz_csq;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,OAH,oah_cn03_a,supports_curriculum_skill,0.82,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_ppc,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_pz_ppc;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,OAH,oah_cn03_a,supports_curriculum_skill,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,OAH,oah_cn03_b,supports_curriculum_skill,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_poe,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_poe_white_gunstone;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,OAH,oah_cn03_b,supports_curriculum_skill,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,OAH,oah_cn03_c,supports_curriculum_skill,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,OAH,oah_cn03_d,supports_curriculum_skill,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_guided_investigation,OAH,oah_cn03_e,supports_curriculum_skill,0.82,src_nap_prek5_science;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_concept_map,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_novak_canas;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
move_worked_example,OAH,oah_cn03_f,supports_curriculum_skill,0.82,src_sweller_cooper;src_mineduc_cn03;src_nrc_framework;src_ccss_math;src_csta_2026;src_ncas
