source_id,title,publisher,source_type,normative_role,provenance_class,is_official,url_or_ref,notes,accessed_date,license_status
src_mineduc_bases_1_6,Bases Curriculares 1° a 6° Básico,Ministerio de Educación de Chile,curriculo_oficial,normativo,official_curriculum,true,https://www.curriculumnacional.cl/recursos/bases-curriculares-1-6-basico,Marco normativo principal para 1°–6° Básico.,2026-08-18,consultar fuente/licencia según uso
src_mineduc_cn03,Ciencias Naturales 3° Básico,Ministerio de Educación de Chile,pagina_curriculo_oficial,normativo,official_curriculum,true,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/ciencias-naturales/3-basico,"OA, OAH y OAA oficiales de Ciencias Naturales 3° Básico.",2026-08-18,consultar fuente/licencia según uso
src_cn03_oa_03,CN03 OA 03,Ministerio de Educación de Chile,item_curriculo_oficial,normativo,official_curriculum,true,https://www.curriculumnacional.cl/614/w3-article-18410.html,OA oficial sobre ciclo de vida de plantas con flor; incluye polinización y dispersión de semillas.,2026-08-18,consultar fuente/licencia según uso
src_mineduc_cn_skills,Habilidades y etapas de la investigación científica,Ministerio de Educación de Chile,organizacion_curricular_oficial,normativo,official_curriculum,true,https://www.curriculumnacional.cl/portal/Ejes/Ciencias-Naturales/Habilidades-y-etapas-de-la-investigacion-cientifica/,Organización oficial de habilidades/etapas de investigación científica y variación por curso.,2026-08-18,consultar fuente/licencia según uso
src_mineduc_cn_org,Organización curricular de Ciencias Naturales,Ministerio de Educación de Chile,organizacion_curricular_oficial,normativo,official_curriculum,true,https://www.curriculumnacional.cl/portal/Educacion-General/Ciencias-naturales/20872%3AOrganizacion-curricular-Ciencias-Naturales,Perspectiva y organización de la asignatura.,2026-08-18,consultar fuente/licencia según uso
src_daniela_map,Antecedentes del documento de entendimiento curricular chileno — Bases Curriculares 1° a 8°,Erandi / Daniela,mapa_curricular_experto,interpretacion_experta,expert_interpretation,false,user_uploaded:Antecedentes del documento de entendimiento curricular chileno - Bases Curriculares 1° a 8°.csv,"Síntesis experta de perspectiva/énfasis, ejes, habilidades, actitudes y progresiones conceptuales; debe conservarse como interpretación, no como norma.",2026-08-18,consultar fuente/licencia según uso
src_nrc_framework,"A Framework for K–12 Science Education: Practices, Crosscutting Concepts, and Core Ideas",National Research Council / National Academies Press,marco_externo,referencia_externa,external_framework,false,https://nap.nationalacademies.org/resource/13165/interactive/,Fuente primaria para prácticas científicas y de ingeniería y conceptos transversales.,2026-08-18,consultar fuente/licencia según uso
src_ccss_math,Common Core State Standards for Mathematics — Standards for Mathematical Practice,Common Core State Standards Initiative,marco_externo,referencia_externa,external_framework,false,https://corestandards.org/mathematics-standards/,Fuente para las ocho prácticas matemáticas.,2026-08-18,consultar fuente/licencia según uso
src_csta_2026,2026 CSTA PK–12 Computer Science Standards,Computer Science Teachers Association,marco_externo,referencia_externa,external_framework,false,https://csteachers.org/pk12standards/view/,Fuente para las doce prácticas de informática/computación 2026.,2026-08-18,consultar fuente/licencia según uso
src_ncas,National Core Arts Standards,National Coalition for Core Arts Standards,marco_externo,referencia_externa,external_framework,false,https://www.nationalartsstandards.org/,"Fuente para procesos artísticos Crear, Presentar/Producir, Responder y Conectar y sus estándares ancla.",2026-08-18,consultar fuente/licencia según uso
src_cast_udl3,CAST Universal Design for Learning Guidelines 3.0,CAST,marco_dua,referencia_externa,research_framework,false,https://udlguidelines.cast.org/,"Marco DUA/UDL 3.0: compromiso, representación y acción/expresión.",2026-08-18,consultar fuente/licencia según uso
src_pz_stw,"See, Think, Wonder","Project Zero, Harvard Graduate School of Education",rutina_pensamiento,referencia_pedagogica,research_based_resource,false,https://pz.harvard.edu/resources/see-think-wonder,"Rutina para observación, interpretación y curiosidad. Revisar licencia antes de reutilización comercial literal. La página indica CC BY-NC-ND 4.0: permite compartir con atribución, no uso comercial ni derivados; cualquier uso en producto comercial requiere revisión jurídica/licencia.",2026-08-18,CC BY-NC-ND 4.0 — no uso comercial / no derivados; revisar antes de producto
src_pz_tpe,"Think, Puzzle, Explore","Project Zero, Harvard Graduate School of Education",rutina_pensamiento,referencia_pedagogica,research_based_resource,false,https://pz.harvard.edu/resources/think-puzzle-explore,"Rutina para activar conocimiento previo, generar preguntas y preparar indagación. Revisar licencia. La página indica CC BY-NC-ND 4.0: permite compartir con atribución, no uso comercial ni derivados; cualquier uso en producto comercial requiere revisión jurídica/licencia.",2026-08-18,CC BY-NC-ND 4.0 — no uso comercial / no derivados; revisar antes de producto
src_pz_csq,"Claim, Support, Question","Project Zero, Harvard Graduate School of Education",rutina_pensamiento,referencia_pedagogica,research_based_resource,false,https://pz.harvard.edu/resources/claim-support-question,"Rutina para afirmaciones, soporte/evidencia y preguntas. Revisar licencia. La página indica CC BY-NC-ND 4.0: permite compartir con atribución, no uso comercial ni derivados; cualquier uso en producto comercial requiere revisión jurídica/licencia.",2026-08-18,CC BY-NC-ND 4.0 — no uso comercial / no derivados; revisar antes de producto
src_pz_ppc,"Parts, Purposes, Complexities (For Younger Children)","Project Zero, Harvard Graduate School of Education",rutina_pensamiento,referencia_pedagogica,research_based_resource,false,https://pz.harvard.edu/resources/parts-purposes-complexities-younger-children,"Versión para niños pequeños orientada a observar partes, propósitos y relaciones. Revisar licencia. La página indica CC BY-NC-ND 4.0: permite compartir con atribución, no uso comercial ni derivados; cualquier uso en producto comercial requiere revisión jurídica/licencia.",2026-08-18,CC BY-NC-ND 4.0 — no uso comercial / no derivados; revisar antes de producto
src_poe_white_gunstone,Prediction–Observation–Explanation,White & Gunstone,investigacion_pedagogica,referencia_pedagogica,research_source,false,https://www.taylorfrancis.com/chapters/mono/10.4324/9780203761342-3/prediction-observation-explanation-richard-white-richard-gunstone,Fuente clásica para secuencias predicción-observación-explicación.,2026-08-18,consultar fuente/licencia según uso
