artifact_id,move_id,artifact_type,name,suggested_template_outline,developmental_band,udl_ready,source_id,verification_status
artifact_001,move_initial_model,presentation,Provocación visual inicial,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nap_prek5_science,prototype
artifact_002,move_initial_model,worksheet,Lienzo de modelo inicial,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nap_prek5_science,prototype
artifact_003,move_initial_model,teacher_guide,Guía de preguntas para explicación oral,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_nap_prek5_science,prototype
artifact_004,move_stw,presentation,Fenómeno + fases de observar/interpretar/preguntar,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_stw,prototype
artifact_005,move_stw,worksheet,Registro opcional de observaciones e interpretaciones,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_stw,prototype
artifact_006,move_stw,observation_prompt,Tarjeta docente: qué observar,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_stw,prototype
artifact_007,move_tpe,presentation,Activación de ideas/preguntas/rutas,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_tpe,prototype
artifact_008,move_tpe,worksheet,Muro o ficha de preguntas,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_tpe,prototype
artifact_009,move_tpe,teacher_guide,Guía para convertir curiosidad en pregunta exploratoria,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_tpe,prototype
artifact_010,move_csq,presentation,Estructura afirmación–evidencia–pregunta,objetivo; instrucción estudiante; contenido/fenómeno parametrizado; apoyo opcional; evidencia/teacher watch-for,devband_middle_primary,true,src_pz_csq,prototype
