evidence_intent_id,move_id,name,watch_for,constrained_criteria_json,insufficient_evidence_definition,decision_enabled,capture_options,source_ids,provenance_class,verification_status
evid_initial_model,move_initial_model,Representación inicial de la relación abeja–flor,"¿El estudiante representa solo objetos aislados o una relación funcional entre abeja, flor/polen y reproducción?","[""0: evidencia insuficiente o no interpretable"",""1: representa abeja/flor como componentes sin relación"",""2: representa interacción directa abeja–flor"",""3: representa transferencia/función vinculada a polinización"",""4: conecta polinización con reproducción/ciclo de la planta""]","Un dibujo bonito o el uso de vocabulario científico, por sí solo, no demuestra comprensión causal.","Decidir si conviene observar más, introducir un modelo concreto del polen o avanzar a indagación.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_nap_prek5_science;src_black_wiliam,expert_synthesis,needs_expert_review
evid_stw,move_stw,Observación versus interpretación,¿Puede describir rasgos visibles antes de inferir qué significan y generar preguntas a partir de ellos?,"[""0: no hay evidencia suficiente"",""1: mezcla observación con opinión/inferencia"",""2: produce al menos una observación específica"",""3: distingue observación e interpretación de manera consistente"",""4: usa observaciones para generar preguntas pertinentes""]",Una pregunta curiosa no demuestra por sí misma capacidad de observación científica.,Decidir si modelar explícitamente ver vs. interpretar o avanzar a preguntas/investigación.,observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_pz_stw;src_black_wiliam,expert_synthesis,needs_expert_review
evid_tpe,move_tpe,Ideas previas y preguntas investigables,"¿Qué ideas previas, dudas y posibles rutas de exploración aparecen?","[""0: evidencia insuficiente"",""1: expresa ideas/preguntas generales"",""2: formula preguntas conectadas al fenómeno"",""3: identifica al menos una pregunta abordable con observación/evidencia"",""4: propone una forma plausible de explorarla""]",Las ideas iniciales no se califican como correctas/incorrectas para inferir dominio global.,Seleccionar fenómeno/pregunta para la trayectoria y nivel de andamiaje inicial.,observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_pz_tpe;src_black_wiliam,expert_synthesis,needs_expert_review
evid_csq,move_csq,Afirmación respaldada con evidencia,¿El estudiante distingue una afirmación de la evidencia y conecta ambas mediante una razón?,"[""0: evidencia insuficiente"",""1: expresa afirmación sin soporte"",""2: agrega evidencia relevante"",""3: explica cómo la evidencia apoya la afirmación"",""4: reconoce límites/preguntas o revisa la afirmación""]",Mencionar un dato no demuestra que se comprenda su relación con la afirmación.,"Decidir si apoyar selección de evidencia, razonamiento causal o contraste de explicaciones.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_pz_csq;src_black_wiliam,expert_synthesis,needs_expert_review
evid_ppc,move_ppc,Razonamiento parte–función–sistema,¿El estudiante identifica partes relevantes y razona sobre funciones/relaciones dentro del sistema?,"[""0: insuficiente"",""1: enumera partes"",""2: vincula parte con función"",""3: explica relaciones entre varias partes"",""4: anticipa qué cambia si falta/modifica una parte""]",Nombrar partes no demuestra pensamiento sistémico.,"Decidir si profundizar funciones, relaciones o predicciones sobre cambios.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_pz_ppc;src_black_wiliam,expert_synthesis,needs_expert_review
evid_poe,move_poe,Uso productivo del contraste predicción–evidencia,¿El estudiante compara lo predicho con lo observado y usa la discrepancia para revisar su explicación?,"[""0: insuficiente"",""1: registra predicción y observación sin compararlas"",""2: identifica coincidencia/diferencia"",""3: propone explicación basada en evidencia"",""4: revisa modelo/idea y justifica el cambio""]",Que una predicción sea correcta no demuestra comprensión del mecanismo.,"Decidir si pedir autoexplicación, repetir una observación o avanzar a modelación.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_poe_white_gunstone;src_black_wiliam,expert_synthesis,needs_expert_review
evid_guided_investigation,move_guided_investigation,Pregunta–procedimiento–evidencia,¿Los estudiantes comprenden cómo las acciones y registros de la investigación ayudan a responder la pregunta?,"[""0: insuficiente"",""1: sigue pasos sin conectar con pregunta"",""2: identifica qué se observa/mide y por qué"",""3: registra/organiza evidencia relevante"",""4: usa evidencia y reconoce una limitación simple""]",Completar correctamente la hoja no demuestra comprensión del diseño de investigación.,"Decidir si reducir procedimiento, fortalecer registro/análisis o abrir más decisiones al grupo.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_nap_prek5_science;src_black_wiliam,expert_synthesis,needs_expert_review
evid_concept_map,move_concept_map,Relaciones conceptuales explícitas,¿El mapa representa relaciones significativas entre conceptos del fenómeno?,"[""0: insuficiente"",""1: lista conceptos sin enlaces significativos"",""2: conecta pares con relaciones plausibles"",""3: integra varias relaciones en una estructura coherente"",""4: revisa conexiones a partir de evidencia/nueva comprensión""]",Cantidad de conceptos no equivale a calidad de comprensión.,Identificar relaciones faltantes o contradictorias para el siguiente movimiento.,observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_novak_canas;src_black_wiliam,expert_synthesis,needs_expert_review
evid_worked_example,move_worked_example,Comprensión de la estructura modelada,¿El estudiante reconoce por qué el ejemplo está organizado de esa manera y puede aplicar una parte con apoyo reducido?,"[""0: insuficiente"",""1: imita formato superficial"",""2: identifica un paso/decisión clave"",""3: aplica el principio en caso similar"",""4: explica cuándo usar o modificar el procedimiento""]",Copiar correctamente no demuestra comprensión.,"Decidir si retirar apoyo, ofrecer otro ejemplo contrastante o volver al concepto.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_sweller_cooper;src_black_wiliam,expert_synthesis,needs_expert_review
evid_self_explanation,move_self_explanation,Explicación de una relación o decisión,"¿El estudiante puede explicar por qué una relación, paso o evidencia tiene sentido?","[""0: insuficiente"",""1: repite la información"",""2: explica una relación local"",""3: conecta relación con principio/evidencia"",""4: detecta inconsistencia y revisa su explicación""]",Hablar más no implica explicar mejor.,Detectar el punto exacto de razonamiento que necesita andamiaje.,observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_chi_selfexplanation;src_black_wiliam,expert_synthesis,needs_expert_review
evid_peer_critique,move_peer_critique,Uso de criterios para retroalimentar y revisar,¿La retroalimentación se refiere a criterios/evidencia y conduce a una revisión útil?,"[""0: insuficiente"",""1: comentario de gusto/general"",""2: comentario vinculado a un criterio"",""3: usa evidencia específica y sugiere un cambio"",""4: autor incorpora/rechaza feedback justificadamente""]",Amabilidad o cantidad de comentarios no equivale a calidad de crítica.,"Decidir si clarificar criterios, modelar feedback o pasar a revisión.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_black_wiliam;src_black_wiliam,expert_synthesis,needs_expert_review
evid_design_challenge,move_design_challenge,Definición del problema y calidad de ideas,"¿Las ideas responden a un problema, criterios y restricciones explícitos?","[""0: insuficiente"",""1: construye sin definir necesidad"",""2: identifica problema y al menos un criterio"",""3: genera/compara alternativas según criterios"",""4: justifica dirección considerando restricciones y evidencia""]",Construir un objeto atractivo no demuestra ingeniería.,Decidir si detener construcción para aclarar problema/criterios o pasar a prototipo.,observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_nrc_framework;src_black_wiliam,expert_synthesis,needs_expert_review
evid_prototype_test_iterate,move_prototype_test_iterate,Iteración basada en evidencia,¿Cada cambio del prototipo responde a una prueba y a un criterio?,"[""0: insuficiente"",""1: modifica sin prueba o razón explícita"",""2: prueba contra un criterio y registra resultado"",""3: realiza cambio vinculado a evidencia"",""4: compara ciclos/trade-offs y justifica optimización""]",Más versiones no equivalen a mejor iteración si no existe evidencia.,"Decidir si mejorar la prueba, clarificar criterio o realizar otro ciclo.",observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_nrc_framework;src_black_wiliam,expert_synthesis,needs_expert_review
evid_model_revision,move_model_revision,Cambio conceptual basado en evidencia,¿La revisión del modelo refleja nueva evidencia o relaciones mejor explicadas?,"[""0: insuficiente"",""1: cambia elementos superficiales"",""2: agrega/corrige relación relevante"",""3: justifica el cambio con evidencia"",""4: usa el modelo revisado para explicar o predecir""]",Un modelo distinto al inicial no demuestra mejora si el cambio no está justificado.,Decidir si la trayectoria puede avanzar o requiere otra experiencia conceptual.,observación docente; voz/texto; artefacto del estudiante; respuesta digital opcional,src_nrc_framework;src_black_wiliam,expert_synthesis,needs_expert_review
